library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL5943141,active,384.27400000000017,2.690500000000001,3,3,87.30000000000001,7,1,23,0,0.6756437251307191,0.4375,0
fpr2_actives_chembl,CHEMBL5900794,active,397.2730000000001,3.0882000000000005,3,3,90.53999999999999,4,1,24,0,0.6823871236208193,0.4375,0
fpr2_actives_chembl,CHEMBL5913170,active,393.24100000000027,2.5962000000000005,3,3,90.53999999999999,4,1,24,0,0.6872727968647182,0.4375,0
fpr2_actives_chembl,CHEMBL5981737,active,436.28100000000006,3.0262000000000002,3,3,87.30000000000001,7,2,27,0,0.6238798782355065,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5770898,active,463.3070000000001,3.9581000000000017,3,3,90.53999999999999,6,2,29,0,0.5669795533783575,0.25,0
fpr2_actives_chembl,CHEMBL5966395,active,315.16700000000003,2.8239,3,2,78.43,5,1,18,0,0.7816085476101112,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL5979325,active,424.2700000000002,2.4294999999999995,4,3,90.46000000000001,7,2,26,0,0.5505965223321561,0.2222222222222222,0
fpr2_actives_chembl,CHEMBL5845932,active,414.3000000000002,2.807100000000001,3,4,96.53000000000002,8,1,25,0,0.5703105041424785,0.47058823529411764,0
fpr2_actives_chembl,CHEMBL5774699,active,390.2090000000001,2.0791999999999997,4,3,107.53000000000002,7,1,23,0,0.5718778765958936,0.35714285714285715,0
fpr2_actives_chembl,CHEMBL5803719,active,372.26300000000015,2.0938000000000003,4,3,90.46000000000001,7,1,22,0,0.5909172017714838,0.4666666666666667,0
fpr2_actives_chembl,CHEMBL6045914,active,449.2800000000001,3.5680000000000014,3,3,90.53999999999999,5,2,28,0,0.610146493844844,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5770353,active,389.22500000000014,1.4799,4,3,113.32,7,1,23,0,0.566567828596601,0.35714285714285715,0
fpr2_actives_chembl,CHEMBL5984127,active,449.2800000000001,3.5680000000000014,3,3,90.53999999999999,5,2,28,0,0.610146493844844,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5886224,active,403.2520000000002,1.7259,4,3,113.32,7,1,24,0,0.5561120744331777,0.4,0
fpr2_actives_chembl,CHEMBL5868129,active,402.264,2.8296,3,3,87.30000000000001,7,1,24,0,0.6556756474820213,0.4375,0
fpr2_actives_chembl,CHEMBL5935910,active,447.2890000000001,3.1345,4,4,110.76999999999998,5,2,28,0,0.528147304891444,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5929169,active,418.26300000000015,2.7137000000000002,4,3,107.53000000000002,7,1,25,0,0.5462801188518096,0.4375,0
fpr2_actives_chembl,CHEMBL5765955,active,437.31900000000013,3.490400000000001,3,4,90.53999999999999,5,2,26,0,0.6259394634506464,0.23529411764705882,0
fpr2_actives_chembl,CHEMBL5943754,active,465.2790000000001,3.273600000000001,4,4,110.76999999999998,5,2,29,0,0.5083558790442722,0.21052631578947367,0
